"","pv5math","gender","escs","video_games","interest_broad_science","test_anxiety","ISCED_orient","school_id"
"55",0.423207831330648,0,0.3107,0,-0.2805,0.3997,0,3
"56",0.77066706557671,0,1.7393,1,-0.2052,2.5493,0,3
"57",2.51006603558263,0,0.3468,1,1.5043,-0.4071,0,3
"58",0.17543934764038,0,1.0765,0,0.5305,2.5493,0,3
"59",0.252881130505791,0,0.9118,0,-0.5836,-0.242,0,3
"60",0.499304275194455,1,1.5231,1,0.3043,-0.4671,0,3
"61",1.8298445477803,1,-0.1932,0,-0.0034,-0.4671,0,3
"62",1.10809843684443,1,0.8851,0,1.0195,-1.0789,0,3
"63",0.407459451253054,1,-1.4896,1,-0.3744,0.206,0,3
"64",1.8960487931029,1,0.383,1,0.6496,-0.0374,0,3
"65",1.38124747564898,1,-0.005,0,-0.1178,0.4517,0,3
"66",0.981772235130842,1,1.0572,1,0.5305,-0.3455,0,3
"67",-0.768265087820533,1,-2.0071,1,0.0299,0.5209,0,4
"68",0.229060716418576,0,0.6345,1,0.5305,2.5493,0,5
"69",0.26423172174621,0,2.2591,1,0.6584,-0.308,0,5
"70",0.234532515383082,0,0.7157,0,1.2758,2.5493,0,5
"71",0.22036688707208,0,0.6538,0,0.9248,0.5209,0,5
"72",0.79231684866974,0,-1.0274,0,0.2913,0.7186,0,5
"73",-0.946584685066681,1,-1.2477,0,0.5305,0.5175,0,5
"74",-1.57185077045898,1,-0.0258,1,-0.352,-0.6788,0,5
"75",-0.200543334513627,1,0.7556,1,1.4741,0.7291,0,5
"76",0.95707000220224,1,1.098,1,0.0566,0.2822,0,5
"77",-0.371570968263689,1,0.0878,1,0.2335,-0.308,0,5
"78",0.0999081722646428,1,1.0245,1,1.3588,2.5493,0,5
"79",0.906998519529116,1,0.4919,1,0.8083,1.8135,0,5
"80",-0.622312764201198,1,-0.0221,1,1.0787,1.7952,0,5
"81",0.511875846369102,1,1.3388,1,0.1738,-0.2616,0,5
"82",0.196648221312718,1,1.0286,0,-0.0589,0.219,0,5
"83",-0.143044223907279,0,1.7255,1,-0.2052,0.7186,0,5
"84",0.815583299638647,0,0.8842,1,-0.2926,0.7754,0,5
"85",0.409607471507716,0,1.1231,0,0.1894,1.3971,0,5
"86",-0.396126231385393,1,0.7277,1,1.6345,2.5493,0,5
"87",0.252281945908438,1,-0.3637,1,0.438,0.7993,0,5
"88",0.586287790138464,1,1.2374,1,-0.0369,0.803,0,5
"89",-0.526183205120237,1,0.0622,0,0.1042,-0.7236,0,5
"91",-0.0900220397264366,1,-0.1959,1,0.0764,-0.0374,0,5
"92",-0.113491987351049,0,1.2619,0,-0.7324,0.4785,0,5
"94",-1.06899922884284,0,-1.2084,1,-0.0369,1.4394,1,6
"95",-3.73644469719017,1,-1.516,1,-2.4981,0.6725,1,6
"96",-2.14506693346991,1,0.7761,1,-2.5813,1.1311,1,6
"97",-1.09546509945421,1,0.0254,0,-0.0189,-0.0955,1,6
"98",-0.334670241362565,1,-0.106,1,0.2664,0.7291,1,6
"99",-1.43876395762809,1,-0.0277,1,0.0795,0.5209,1,6
"100",0.871748376613152,1,1.191,1,0.6496,-1.4251,1,6
"101",0.344477236312441,1,0.0674,0,0.324,0.8425,1,6
"102",-0.3175086900648,1,-0.8849,1,0.9659,0.6758,1,6
"103",-0.130811813825473,0,0.0658,0,0.1976,-0.6871,1,6
"104",-2.09345792050924,0,-2.2112,0,0.5305,0.7993,1,6
"105",-1.29146629500715,0,0.0043,0,-0.7097,1.4394,1,6
"106",-0.623013697126403,1,-0.8367,1,0.5305,-0.478,1,6
