"","gender","index_immigration_status","home_possessions","cultural_possessions","home_edu_resources","escs","video_games","sport_after_school","read_books","internet_social","meet_friends","study_before_school","study_after_school","learning_time_math","learning_time_lang","learning_time_science","disciplinari_climate","subjective_well_being","enjoy_science","interest_broad_science","intrum_motiv_science","motivat","test_anxiety","education_parents_medium","education_parents_high","pv5math"
"2422",0,1,20511,-0.831,-1.1119,-1.9639,0,1,0,1,1,0,1,2.75,4.58333333333333,0.383333333333333,-0.5177,-0.2137,0.5094,0.0211,0.3708,-0.8771,-0.0374,0,0,563.867
"2424",1,1,36485,-1.2278,1.1563,0.4022,1,1,0,1,1,1,1,3.66666666666667,3.66666666666667,0.383333333333333,-0.6614,1.0269,0.0992,0.6584,0.3708,-0.9108,0.5209,0,1,432.281
"2426",1,1,33633,0.0433,1.1563,0.7334,1,0,0,1,1,0,0,9.16666666666667,9.16666666666667,0.383333333333333,-1.0781,2.5915,-0.56,-0.4122,-1.9301,-0.8006,-1.7918,0,1,407.434
"2427",0,1,29407,-0.2107,-0.1108,-0.5729,0,0,0,1,1,1,1,2.5,3.33333333333333,0.5,-1.1377,0.7934,-0.395,-0.5234,-0.7778,-1.7267,-0.8342,1,0,509.382
"2428",0,1,45689,2.1655,1.1563,1.2777,0,0,0,1,1,0,0,3.33333333333333,3.33333333333333,0.633333333333333,-1.6454,0.1643,-0.4205,-0.3247,-1.9301,-2.685,-1.1166,0,1,559.012
"2429",1,1,35688,-0.2107,-0.1108,0.189,1,1,1,1,1,0,1,3.33333333333333,3.33333333333333,0.5,-1.3537,0.6642,-0.1808,-0.0095,-1.0511,-0.9407,-0.9109,0,1,516.225
"2430",0,1,29679,-0.9969,-0.1108,-0.3976,1,1,1,1,1,0,0,3.33333333333333,2.5,0.633333333333333,1.8837,0.1985,-0.1522,-0.3744,-0.7778,-1.5929,-1.7918,1,0,631.43
"2431",0,1,36606,0.2737,-0.1108,0.0636,1,1,0,1,1,1,1,3.33333333333333,4.16666666666667,0.35,0.0039,-1.4115,-0.8208,-0.0529,0.3708,-0.1651,0.0752,1,0,535.269
"2432",0,1,36103,0.1157,0.1927,-0.4921,0,0,0,1,1,0,1,3.33333333333333,4.16666666666667,0.35,0.2884,1.5611,-0.6306,0.408,-0.7778,-1.5929,-1.0668,1,0,560.775
"2433",0,1,37317,2.1655,-0.1108,-0.1789,0,0,1,1,1,0,0,3.33333333333333,4.16666666666667,0.633333333333333,0.2343,0.6642,-0.8208,-0.2865,-0.7778,-1.9164,-1.7918,1,0,558.643
"2434",0,1,34581,-0.2107,-1.0509,-0.548,0,1,0,1,1,0,1,3.33333333333333,3.33333333333333,0.35,-0.1502,1.5611,-1.7159,-0.4066,-1.9301,-1.2179,-2.505,1,0,516.919
"2435",0,1,37626,-0.0284,0.6645,-0.5394,0,1,1,1,1,1,1,3.33333333333333,3.33333333333333,0.35,0.5059,-0.4747,-1.7159,-0.5344,-1.9301,-1.0676,-2.505,1,0,562.776
"2436",0,1,38140,-0.0144,1.1563,0.058,0,0,0,1,1,1,1,3.33333333333333,3.33333333333333,0.35,0.5529,0.6642,0.5094,0.5305,0.3708,-0.5086,-1.0698,1,0,603.989
"2437",0,1,37420,-0.1523,1.1563,-0.6069,1,1,0,1,1,0,0,3.33333333333333,3.33333333333333,0.35,0.3569,-0.2588,-0.1522,-0.6368,-1.9301,-1.9164,-1.3119,1,0,537.561
"2438",0,1,29766,-0.8341,-0.6303,0.1552,0,0,0,1,1,0,1,3.33333333333333,3.33333333333333,0.35,0.9971,-0.5064,-2.1154,-1.2668,-1.9301,-1.511,-0.0969,0,1,525.519
"2439",0,1,32568,-0.7039,-0.6303,0.7128,1,1,0,1,1,0,1,3.33333333333333,3.33333333333333,0.75,-1.6054,0.4906,-0.8208,-0.172,-1.3237,-1.1822,-0.1058,0,1,526.148
"2440",0,1,29938,-1.2278,-0.1108,-0.512,1,0,0,1,1,0,1,3.33333333333333,3.33333333333333,0.75,-1.6054,0.9357,-0.1379,-0.0908,-0.2152,-0.1651,-1.464,1,0,683.718
"2441",0,1,37563,0.1157,1.1563,-0.1078,0,0,0,1,1,0,0,3.33333333333333,3.33333333333333,0.75,-1.0344,2.5915,0.5094,-0.2052,-0.0575,-1.0795,-1.1074,1,0,572.236
"2442",0,1,27870,-0.8341,-1.0509,-0.4517,1,1,1,1,1,0,1,3.33333333333333,3.33333333333333,0.75,-1.0563,0.3366,-0.8208,-0.0034,-0.7778,-0.544,0.2594,0,1,575.68
"2443",0,1,24946,-0.831,-0.7087,-0.7368,0,1,0,1,1,0,1,3.33333333333333,3.33333333333333,0.35,0.6241,0.6642,-0.4593,-0.4066,-0.2714,-1.7353,-0.0969,1,0,598.105
"2444",0,1,44841,0.2737,1.1563,0.263,1,1,0,1,1,0,0,3.33333333333333,3.33333333333333,0.35,0.3527,-1.3612,-1.2347,0.2463,-0.7778,-1.3281,-0.5801,1,0,555.762
"2445",0,1,34455,-0.222,-0.1108,-0.0774,0,1,0,1,1,0,0,3.33333333333333,3.33333333333333,0.35,1.2422,-2.0945,-1.7159,-1.0968,0.3708,-0.7662,-0.8371,1,0,544.657
"2446",0,1,37060,0.2737,-0.1108,0.163,0,1,0,1,1,0,1,3.33333333333333,4.16666666666667,0.5,0.0039,-1.5827,-1.2636,-0.8816,-1.0839,-0.1756,-1.3753,1,0,729.705
"2447",0,1,39848,-0.0144,-0.6303,0.0918,0,1,0,1,0,0,1,3.33333333333333,4.16666666666667,0.35,0.3363,0.6642,-1.7339,-1.0724,-1.5357,-0.7235,0.6571,0,1,542.27
"2448",1,1,34962,0.0433,0.0321,-0.6373,1,1,1,0,0,0,0,3.33333333333333,2.5,0.866666666666667,-1.2894,-0.4972,-0.1522,1.0787,-1.0511,-0.7083,-0.0053,1,0,440.051
"2449",1,1,41016,0.7777,-0.1108,0.329,1,1,1,1,1,1,1,3.33333333333333,4.16666666666667,0.35,-0.2683,0.6642,0.5094,0.5305,0.3708,-0.6582,-0.6425,1,0,295.666
"2450",1,1,40834,-0.2818,1.1563,0.8926,1,1,1,1,1,0,1,3.33333333333333,3.33333333333333,0.633333333333333,-1.0005,0.3812,-2.1154,-2.4981,-0.3438,-1.4159,-0.6871,0,1,382.08
"2451",1,1,35012,-1.6287,-1.0364,-0.0776,0,1,0,1,1,0,0,3.33333333333333,3.33333333333333,0.35,1.1892,-0.378,-0.0885,0.0683,-0.3202,-1.5216,-2.505,1,0,545.813
"2452",1,1,32034,-0.5041,-0.6303,0.2882,1,1,0,1,1,1,1,3.33333333333333,3.33333333333333,0.5,-0.4889,-0.5919,-1.5016,-0.0861,-1.9301,-2.2453,-0.1147,1,0,662.399
"2453",1,1,32946,-1.6287,-0.1108,-0.1122,1,1,0,1,1,0,1,4.16666666666667,3.33333333333333,0.75,-0.4234,-0.6621,1.3508,1.4193,-0.7778,0.4239,0.7291,1,0,572.846
"2454",1,1,34892,-0.356,-0.1108,0.0833,1,1,0,1,1,0,0,3.33333333333333,3.33333333333333,0.75,-1.0344,1.5611,0.5094,0.1042,0.3708,-0.7662,-1.1074,1,0,595.154
"2455",1,1,46241,-0.2818,1.1563,0.6037,1,1,0,1,1,0,0,3.33333333333333,3.33333333333333,0.5,-0.5436,-1.4235,-1.6934,-2.4981,-1.9301,-0.37,-1.5125,1,0,546.422
"2456",1,0,38643,0.6093,1.1563,1.2047,1,0,1,1,0,0,0,2.66666666666667,1.33333333333333,1.08333333333333,-1.4148,-0.8157,-0.8335,0.1186,0.3708,-0.815,-0.5511,0,1,502.667
"2457",1,1,37044,2.1655,-0.1108,1.2286,0,1,1,0,1,0,0,4.16666666666667,5.83333333333333,0.633333333333333,-1.4259,-1.3686,2.1635,0.9989,-1.5577,-1.9688,-1.8089,0,1,647.923
"2459",0,1,45090,2.1655,-0.1108,1.0283,1,1,0,1,0,0,1,3.33333333333333,3.33333333333333,0.75,-1.0005,0.6642,-1.0163,0.0345,0.9178,0.4631,0.1236,0,1,575.633
"2460",0,1,41244,0.2737,1.1563,0.0089,1,1,0,1,1,0,1,3.33333333333333,4.16666666666667,0.75,-2.4162,0.1643,-0.8208,-0.0529,-1.4412,-0.8107,0.46,1,0,565.544
"2461",0,0,31061,-0.356,-0.6303,-0.2827,0,1,0,1,1,1,1,3.33333333333333,4.16666666666667,0.5,-1.2656,0.1643,0.042,1.0787,-0.0948,-0.5512,1.4098,1,0,442.731
"2463",1,1,32205,-0.8341,-1.1375,-0.842,1,1,0,1,0,0,0,3.33333333333333,3.33333333333333,0.35,0.0039,0.0897,-1.4847,0.5305,-0.4767,-0.4745,-2.505,1,0,593.577
"2464",1,1,37551,0.2737,-0.6303,0.119,1,1,1,1,1,0,1,3.66666666666667,3.66666666666667,0.383333333333333,-1.0005,0.0248,2.1635,2.4511,0.8545,-0.9108,-0.3879,1,0,530.53
"2465",1,1,32681,0.0768,-0.1108,-0.5765,0,1,1,1,1,1,1,4.16666666666667,3.33333333333333,0.35,1.8837,0.045,0.6412,0.8104,-0.5375,-0.0852,-0.3258,1,0,570.147
"2466",1,1,41254,-0.2107,-0.1108,0.2345,1,1,1,1,1,0,0,3.33333333333333,4.16666666666667,0.5,0.0039,0.2385,-0.8208,0.5195,-1.9301,0.2159,-1.3753,1,0,700.657
"2467",1,1,27664,-0.4343,-0.1108,-0.3332,1,0,0,1,0,0,1,3,4,0.416666666666667,0.9373,-0.8915,0.9564,0.438,-0.2874,-1.2707,0.7859,0,1,519.488
"2468",0,1,43066,1.0478,-0.7218,1.4086,0,0,1,1,1,0,1,3,5,0.416666666666667,0.5529,-0.8913,-2.1154,-0.2052,-1.0839,-0.7662,-0.2067,0,1,532.953
"2469",0,1,45469,0.7777,-0.1108,1.5382,1,1,1,1,1,0,1,3,4,0.416666666666667,0.8934,0.6642,0.5094,0.7736,-0.494,-0.4495,0.5209,0,1,611.479
"2470",0,1,33280,-0.4504,-0.1108,-0.2446,1,1,0,1,1,0,1,3,4,0.416666666666667,1.8837,1.5043,-0.5395,1.0258,-1.2349,0.1717,1.7184,1,0,422.109
"2471",0,1,48886,1.0478,1.1563,0.8457,0,1,1,1,1,1,1,3,4,0.416666666666667,0.8934,-0.082,0.5094,1.1786,1.3336,1.0385,0.7291,1,0,511.195
"2472",0,1,36019,0.3744,1.1563,-1.208,0,0,0,1,1,1,1,3,4,0.416666666666667,0.5529,0.6642,-0.1379,0.7736,0.3708,0.2296,1.2071,0,0,443.291
"2473",0,1,40151,0.2162,-0.1108,1.0741,0,0,1,1,1,0,1,3,4,0.416666666666667,1.3185,-0.5064,-1.0127,-0.0908,-0.7778,-0.61,-0.0746,0,1,495.501
"2474",0,1,44147,0.1919,1.1563,0.5184,0,1,0,1,1,0,1,2.75,3.66666666666667,0.383333333333333,0.0039,-0.7346,-0.8208,-0.1178,0.3708,-0.7662,1.1235,0,1,457.067
"2475",0,1,55673,1.0478,1.1563,1.7841,1,1,1,1,1,1,1,4.58333333333333,8.25,0.666666666666667,0.6605,0.106,-0.5781,0.6692,1.0728,0.8101,1.3538,0,1,390.608
"2476",0,1,42467,1.0478,1.1563,1.3866,1,0,1,0,0,0,1,3,5,0.416666666666667,0.2343,-0.6078,2.1635,1.0787,0.8545,0.8598,0.5209,0,1,603.498
"2477",0,1,43051,2.1655,0.6645,1.408,1,1,0,1,1,1,1,2.5,4.16666666666667,0.35,-0.5436,0.3602,-1.0127,0.3315,-0.2874,-0.7662,0.5175,0,1,495.623
"2478",0,1,39953,-0.4113,1.1563,0.9016,0,1,1,1,1,1,1,3,4,0.416666666666667,1.3185,-0.5064,-0.1833,0.0795,0.3708,-0.8771,0.5209,0,1,557.517
"2479",0,1,37651,-0.2031,1.1563,1.2096,0,0,0,1,1,0,1,3,9,0.416666666666667,0.8079,0.6642,-0.576,0.0795,1.0728,-0.2315,1.1235,0,1,460.604
"2481",0,1,38185,0.7777,-0.7218,1.2292,0,1,1,1,1,1,1,3,4,0.416666666666667,0.5529,-2.4078,2.1635,0.614,1.7359,1.8543,1.0051,0,1,568.042
"2482",0,1,37466,0.7777,1.0727,-0.2767,0,1,1,1,1,0,1,3,4,0.416666666666667,1.0438,0.2947,-0.1945,1.0787,-0.494,-0.1624,0.4752,1,0,470.235
"2483",1,1,43687,1.0478,1.1563,0.4065,0,1,0,1,1,1,1,3,4,0.416666666666667,1.3185,-0.604,0.5094,0.0795,-1.2349,-0.8133,0.5209,1,0,489.741
"2484",1,1,31483,-0.7039,1.1563,-1.4574,1,1,1,1,1,1,1,2.5,3.33333333333333,0.35,-0.3015,1.5043,-1.1478,-0.5219,-1.3403,0.5387,-0.3661,0,0,547.455
"2485",1,1,52878,2.1655,-0.1108,1.7715,1,1,0,1,1,0,1,9,8,1.11666666666667,-0.5436,-2.4078,0.0992,1.1293,-0.7778,0.4631,1.0016,0,1,559.639
"2487",1,1,37299,0.3005,-0.1108,0.3991,1,1,0,1,1,1,1,2.5,3.33333333333333,0.35,-0.6051,0.7934,-0.4049,0.206,-1.0434,0.4239,0.4785,1,0,517.48
"2488",0,1,41254,2.1655,-0.1108,0.4328,1,0,1,0,0,0,1,2,4,0.416666666666667,-1.0005,-0.6334,0.5094,0.579,1.0728,-0.5643,-0.0836,0,1,612.619
"2489",0,1,43572,2.1655,-0.1108,1.2205,1,1,0,1,1,1,1,3,4,0.416666666666667,0.8934,1.0269,-0.1945,-0.0369,0.3708,-0.61,0.0157,0,1,524.16
"2490",0,1,56323,0.7777,1.1563,1.8138,0,0,1,1,1,1,1,2,4,0.416666666666667,0.0039,0.3171,0.5094,0.1976,1.7359,0.1111,-0.0345,0,1,584.243
"2491",0,1,38422,0.7777,1.1563,-0.5102,0,1,1,1,1,1,1,2,4,0.416666666666667,1.0438,0.9357,0.042,0.6026,-0.2552,-1.6866,0.2495,1,0,411.937
"2492",1,1,40359,0.7777,1.1563,0.2346,1,1,1,1,1,1,1,2.75,2.75,0.383333333333333,0.6605,0.0248,0.5094,0.9659,0.3708,0.2296,-0.4071,0,1,600.956
"2493",1,1,49899,0.2162,1.1563,0.9986,1,1,0,1,1,0,1,2,4,0.416666666666667,0.2884,1.5043,-2.1154,0.0284,1.7359,0.9799,0.206,0,1,602.864
"2494",0,1,35194,0.3005,-0.1108,0.396,1,0,1,1,1,0,1,3,9,0.416666666666667,0.5529,-0.9105,0.125,1.1293,0.3708,0.4631,0.206,0,1,493.802
"2495",0,1,41668,0.2737,-0.1108,1.1299,0,0,0,1,1,1,1,3,4,0.416666666666667,-0.3164,-0.3381,-0.4071,-0.0369,0.3708,-0.61,1.0496,0,1,541.408
"2496",1,1,53710,2.1655,1.1563,1.7011,1,1,1,1,1,1,1,3,4,0.416666666666667,-0.4234,0.2947,2.1635,0.9248,1.7359,1.8543,-0.6788,0,1,625.287
"2497",0,0,31041,-0.0971,1.1563,-1.8042,0,0,0,1,1,1,1,4,7,0.416666666666667,0.2884,0.7701,0.8433,1.6345,0.8545,0.1609,0.5175,0,0,453.304
"2498",1,1,28415,0.2834,-1.3821,-0.8573,1,1,1,0,1,1,1,5,9,0.416666666666667,0.4046,-0.604,-0.8208,-0.3744,0.3708,-0.8671,-0.2039,1,0,237.783
"2499",1,1,36753,0.0768,-0.1108,-1.367,1,1,1,1,1,1,1,3,4,0.583333333333333,1.8837,0.5301,-0.119,0.1419,0.8545,1.8543,-2.505,0,0,344.659
"2500",1,1,30864,0.1508,-1.4432,-0.3002,0,1,0,0,1,1,1,4.16666666666667,7.5,0.5,-0.5436,-1.2608,2.1635,0.5217,0.6315,-1.3215,-0.4305,1,0,566.722
"2501",1,1,34737,0.6093,1.1563,0.028,1,1,0,1,1,1,1,4,7,0.416666666666667,1.8837,2.5915,0.5094,0.5305,1.7359,-0.0971,-0.8342,0,1,427.454
"2502",1,1,34064,-0.1338,-0.1108,-0.567,1,0,0,1,1,0,1,4,7,1,1.3185,-1.2158,0.5094,0.324,0.7648,-0.1651,0.8565,1,0,552.781
"2503",0,1,40360,0.7777,1.1563,-0.6249,0,1,1,1,1,1,1,4,4,0.416666666666667,-0.8722,-0.082,0.5094,1.6345,0.3708,1.8543,0.163,1,0,508.957
"2504",0,1,33568,0.1157,1.1563,-1.4841,0,1,1,1,1,0,1,4,5,0.416666666666667,0.2884,0.9646,0.5094,0.438,-0.0948,-0.2776,-0.242,0,0,419.791
"2505",1,1,33408,0.3005,-0.1108,-1.5313,1,0,1,1,1,1,1,4,6,0.416666666666667,1.1892,0.7333,1.1662,0.7343,0.3708,-0.1651,-0.3688,0,0,437.291
"2506",1,1,33304,-0.2107,-0.1108,-0.8223,1,1,0,1,1,0,1,4,6,0.416666666666667,0.1628,0.0248,1.1249,0.0795,1.1151,0.1717,1.7184,1,0,438.173
"2507",1,1,28695,-1.2278,1.1563,-0.38,1,1,1,1,1,1,1,2,2,0.2,-0.107,0.3171,0.5094,2.4511,0.3708,0.1111,-0.6871,0,1,398.053
"2508",1,1,27765,-1.6287,-0.7218,-1.5113,0,0,0,1,1,1,1,3.66666666666667,5.5,0.383333333333333,0.8934,0.3602,-0.5395,0.8784,-0.4426,-1.0676,0.7153,0,0,490.909
"2509",1,0,38281,0.2293,1.1563,-0.319,1,0,0,1,0,0,0,4,7,1.23333333333333,-0.8184,1.5611,1.1249,0.6566,1.7359,0.7921,-0.4331,0,0,648.582
"2511",1,1,32393,-0.2598,1.1563,-0.8537,1,1,1,0,0,1,1,4,6,0.416666666666667,-0.3031,-0.8704,0.5094,0.5305,0.3708,-0.5539,-0.308,1,0,366.205
"2512",1,1,35231,0.2834,1.1563,-1.7122,1,1,0,1,1,1,1,2,2,0.416666666666667,-0.0075,-0.4725,0.5094,0.5305,0.3708,0.1111,0.206,0,0,467.123
"2513",0,1,36684,0.0058,1.1563,-0.7807,1,0,1,1,1,1,1,4.5,5.25,0.0166666666666667,0.0039,0.6642,0.5094,0.7736,-0.0948,-1.4136,0.5209,1,0,481.934
"2514",1,1,32707,0.2834,-1.4432,0.9865,0,1,1,1,1,1,1,4,6,0.0166666666666667,-0.8722,-1.016,0.5094,-0.2431,-0.7778,0.0078,2.5493,0,1,470.341
"2516",0,1,35986,-0.2614,-0.1108,-0.3311,1,0,0,1,1,1,1,4,6,0.416666666666667,-0.3506,-0.3503,0.5094,0.6496,-0.5375,-0.4495,-0.308,1,0,474.379
"2517",1,1,28088,-0.1892,-0.1108,-1.1999,1,1,1,1,1,1,1,4,6,0.416666666666667,-0.0454,0.5423,0.5094,0.7736,0.3708,-0.2111,0.6007,1,0,437.076
"2518",1,1,34339,2.1655,-0.1108,-0.5569,1,1,0,1,1,1,1,4,6,0.416666666666667,0.0039,-0.3381,0.5094,2.4511,0.3708,1.8543,1.3578,1,0,634.865
"2519",1,1,34893,-0.1892,1.1563,-0.1646,0,1,0,1,1,0,0,3.66666666666667,3.66666666666667,0.383333333333333,0.6605,-0.604,0.042,0.3411,0.3708,-0.4495,0.6725,1,0,479.369
"2520",1,1,36402,-0.4945,1.1563,-0.6051,1,1,0,1,1,1,1,4,6,0.416666666666667,0.0039,0.045,0.1458,0.5217,0.9798,-0.4495,-0.0345,1,0,548.161
"2521",1,1,49970,0.2834,1.1563,0.5756,1,1,0,1,1,0,1,5,4,0.416666666666667,0.7048,-0.2015,0.125,2.4511,1.0728,0.5387,0.6725,1,0,502.023
"2523",1,1,28717,-0.356,-0.1108,-0.3358,1,1,0,0,1,1,1,23,19.1666666666667,0.966666666666667,0.2829,0.0248,0.5094,0.1976,0.3708,-0.8771,0.5209,0,1,363.626
"2526",0,1,39460,0.2293,1.1563,-0.4514,0,0,0,1,1,1,1,5,4,0.416666666666667,0.8934,-0.1985,0.042,0.0795,1.0728,0.1717,0.5209,1,0,551.854
"2527",0,1,44322,0.6093,-0.1108,1.4134,0,0,0,1,1,1,0,4.16666666666667,5,0.35,-0.1458,-0.2015,0.1458,0.8721,0.4152,-0.4008,1.4098,0,1,567.268
"2528",0,1,37067,0.0768,1.0727,-0.6633,1,1,1,1,1,1,1,5,4,0.416666666666667,0.1099,0.2947,-0.588,-0.0503,-0.3035,0.2915,-0.5306,1,0,622.412
"2529",0,1,33433,-0.6174,1.1563,-0.2389,1,1,0,1,1,1,1,4.58333333333333,3.66666666666667,0.666666666666667,0.0438,1.0269,-0.1945,-0.1239,0.0125,0.1111,-0.0253,1,0,608.37
"2530",0,1,37015,-0.222,-0.1108,-0.5826,1,1,0,1,1,1,1,5,4,0.416666666666667,-2.4162,0.75,-1.3808,0.3029,1.7359,-1.7326,0.7238,1,0,507.405
"2532",0,0,38207,0.2293,1.1563,0.6721,0,1,0,1,1,1,1,5,4,0.716666666666667,0.2829,1.5043,1.0323,1.3674,1.7359,-1.0771,-0.6211,0,1,497.338
"2533",0,1,48379,2.1655,1.1563,-0.2062,1,1,1,1,1,0,1,4,4,0.716666666666667,1.8837,-0.8307,2.1635,1.6345,1.3336,-0.1651,0.5209,1,0,497.315
"2535",1,1,30701,-1.2278,1.1563,-1.4861,1,1,0,1,1,1,1,2,4,0.866666666666667,-0.4491,0.6642,-0.8208,-0.1991,-0.7778,-0.1651,0.8425,0,0,524.925
"2536",1,1,36515,0.1919,-0.1108,-0.1257,1,0,0,0,1,0,0,5,4,0.416666666666667,0.6605,0.2947,2.1635,0.7736,1.7359,-1.3668,-0.2067,1,0,575.764
"2537",1,1,38349,0.6093,1.1563,0.6566,0,0,0,1,1,1,1,5,4,0.416666666666667,0.1099,0.6642,0.125,0.9659,0.3708,0.4631,-0.0836,0,1,557.879
"2538",1,1,32161,-1.6287,-0.6303,-0.637,1,1,0,1,1,0,1,5,4,0.416666666666667,-2.4162,1.5043,-2.1154,-0.1156,-1.9301,-0.4055,-2.505,1,0,499.673
"2539",1,1,40974,0.6093,-0.1108,1.0011,1,1,0,1,1,1,1,5,7,0.2,-0.0454,0.3602,-0.8208,0.1379,0.3708,-1.1296,0.7186,0,1,514.389
"2540",1,1,26346,-1.6287,-0.7218,-0.4044,0,1,1,1,1,1,1,5,7,0.416666666666667,0.2829,0.1006,0.5094,0.3721,0.3708,-0.1651,0.8425,0,1,511.388
"2541",1,1,52078,2.1655,1.1563,-0.1105,0,1,0,1,0,0,0,0,0,0.0166666666666667,-1.9061,0.095,1.0637,1.3674,0.3708,-0.1651,0.5209,1,0,551.868
"2542",1,1,30713,0.3744,-0.1108,0.3574,1,1,0,1,1,0,1,4,4,0.866666666666667,0.4046,2.5915,0.1027,0.5305,0.3708,0.9799,0.5209,0,1,459.678
"2543",1,1,34856,0.0768,1.1563,-0.352,1,1,1,1,1,1,1,4,4,0.716666666666667,0.5952,1.5611,0.5094,2.4511,1.7359,-0.4954,0.2594,1,0,610.087
"2545",0,1,46330,0.7777,1.1563,0.297,1,1,0,1,1,1,1,4,4,0.583333333333333,0.0039,0.0248,0.5094,0.5305,0.3708,0.4631,0.7993,1,0,525.409
"2546",1,1,35154,-0.4945,0.1927,0.0433,1,1,1,1,1,1,1,4,4,0.583333333333333,-0.8504,0.0248,-0.8208,0.5305,0.3708,0.2405,-0.0345,0,1,581.542
"2547",1,1,39321,0.0768,1.1563,-0.1651,1,0,0,1,1,1,1,4,4,0.583333333333333,-0.2683,0.4638,0.5094,0.438,0.3708,0.2915,0.7186,1,0,465.489
"2548",1,1,50715,1.0478,1.1563,1.0496,1,1,0,1,1,1,1,4,4,0.583333333333333,-0.766,-0.6674,1.3859,0.2433,-1.1073,0.4631,1.3538,0,1,501.849
"2550",1,1,40031,2.1655,1.1563,-0.0171,1,1,1,1,1,0,1,4.58333333333333,3.66666666666667,0.383333333333333,0.6605,0.3171,2.1635,0.2009,1.356,0.4631,0.1359,1,0,614.681
"2551",0,1,42490,2.1655,1.1563,-0.6686,0,0,1,1,1,1,1,4,5,0.583333333333333,1.8837,1.398,-1.4717,0.5305,-1.9301,-0.2803,1.3418,1,0,461.7
"2552",0,1,33880,-0.4343,1.1563,-0.4085,0,1,1,1,1,1,1,0.916666666666667,2.75,0.0166666666666667,-0.107,-0.509,-0.5604,0.025,-0.502,-1.282,-0.4221,1,0,432.82
"2555",0,1,23016,-0.831,-0.1108,-0.973,1,1,1,1,1,0,1,2,3,0.2,-0.2683,0.6642,-2.1154,-2.4981,-0.7778,-1.2797,1.4098,1,0,383.413
"2556",0,1,30929,-0.5041,-0.1108,-1.5397,1,0,1,1,1,0,1,2,5,0.2,0.9337,-0.0545,-1.4311,0.8168,0.7429,-1.8679,-1.7201,0,0,550.368
"2557",0,1,33564,-0.2107,-1.1023,-0.5854,0,1,0,1,0,0,1,3,3,0.866666666666667,0.7988,0.7246,0.0018,0.2212,-1.9301,-0.0056,-0.1811,1,0,507.902
"2558",0,1,30262,-0.4343,-0.1108,-0.684,0,0,0,1,1,0,1,3,3,0.866666666666667,0.8946,0.0248,-0.6306,-0.2865,-1.4849,-1.5196,-0.4305,1,0,350.015
"2559",0,1,22120,-1.6287,-0.6303,-1.006,0,0,0,1,1,1,1,2,3,0.2,0.4552,-0.6334,-0.8208,-0.3744,-0.5555,-1.0676,0.2092,1,0,487.295
"2560",0,1,36021,-0.4365,1.1563,-0.6604,1,1,1,1,1,1,1,3,3,0.866666666666667,0.8934,0.412,-0.8208,-0.0908,-1.3237,-3.0877,-0.4671,1,0,549.706
"2561",0,1,34444,-0.4343,1.1563,-0.677,1,0,0,1,1,0,1,3,3,0.2,0.0039,-0.2983,0.0992,0.4913,-0.0948,-1.0255,0.7186,1,0,491.956
"2562",0,1,37234,0.1157,-0.1108,-0.5518,0,0,0,1,0,1,1,3,3,0.866666666666667,0.2829,0.6642,-1.4333,-1.0099,-1.9301,-0.4495,0.2594,1,0,459.474
"2564",0,1,35289,0.1157,-0.1108,-0.7679,0,0,0,1,1,1,1,3,3,0.866666666666667,0.2829,0.2947,-0.8208,-0.3744,-1.9301,-0.8771,1.5125,1,0,415.457
"2565",0,1,38276,0.1919,1.1563,-0.7429,0,1,1,1,1,1,1,3,3,0.866666666666667,0.0039,0.7934,-0.1379,-0.7341,-0.5375,-0.5996,-0.1593,1,0,515.975
"2566",0,1,32002,-0.4365,-0.7026,-0.8081,0,0,0,1,1,0,0,3,3,0.866666666666667,-0.2683,-0.4395,-0.8372,-0.3744,-0.2714,-0.2803,0.5903,1,0,424.839
"2567",0,1,23986,-1.2573,-0.5343,-1.1854,1,0,1,1,1,1,1,2,3,0.2,0.0438,0.1434,-0.3522,-0.4373,0.7648,-1.1822,1.4437,1,0,417.626
"2568",0,1,33199,-1.2278,-0.6303,-0.5017,0,1,0,0,0,0,0,2,3,0.0166666666666667,-0.8504,0.1157,-0.5924,0.0683,0.327,-0.4849,-0.4221,0,1,513.777
"2569",0,1,28226,-1.2278,-1.0364,-1.1329,1,0,0,1,1,1,1,3,3,0.866666666666667,0.7988,-1.3258,-0.6306,0.3411,-0.4595,-1.5572,1.057,1,0,484.619
"2570",0,1,31468,-0.8341,1.1563,-0.6831,1,0,0,1,0,0,1,3,3,0.866666666666667,1.2479,-0.548,-0.8757,0.1186,-0.7579,-1.7326,-0.0879,1,0,451.645
"2571",0,1,28484,-0.831,-0.8323,-1.2246,1,0,0,1,0,0,1,3,3,0.866666666666667,0.9781,0.0371,-1.0141,-1.2668,-1.0511,-0.4495,-0.4331,1,0,443.824
"2573",0,0,30097,-0.831,-1.7275,-0.6777,0,0,0,1,1,0,0,4.16666666666667,4.16666666666667,0.633333333333333,0.8351,-0.8021,-2.1154,-0.4741,-0.5375,0.9399,1.0387,0,1,462.176
"2580",0,1,29058,-0.4504,-0.1108,-0.5444,0,1,1,1,1,0,1,2,3,0.583333333333333,0.2884,0.3171,-1.7159,-1.0207,0.8545,-1.358,-0.9024,1,0,563.7
