"","gender","index_immigration_status","home_possessions","cultural_possessions","home_edu_resources","escs","video_games","sport_after_school","read_books","internet_social","meet_friends","study_before_school","study_after_school","learning_time_math","learning_time_lang","learning_time_science","disciplinari_climate","subjective_well_being","enjoy_science","interest_broad_science","intrum_motiv_science","motivat","test_anxiety","education_parents_medium","education_parents_high","pv5math"
"11360",1,1,42202,0.7777,1.1563,0.0213,0,1,1,1,1,0,1,3.66666666666667,3.66666666666667,0.666666666666667,-0.9827,1.5043,2.1635,2.4511,1.7359,1.8543,-0.308,1,0,573.246
"11361",1,1,30867,-0.7039,-0.7218,1.0016,1,1,0,1,1,0,1,4,4,0.716666666666667,-0.9827,0.6642,0.5094,0.3721,0.3708,0.2915,-0.1433,0,1,404.661
"11362",1,1,35486,0.1376,-1.0509,0.3324,1,1,1,1,1,1,1,3,4,0.416666666666667,0.9383,0.6642,0.5553,-0.0908,0.3708,0.0515,-0.0746,1,0,511.086
"11364",0,1,36234,0.6062,0.0659,1.0955,0,1,0,1,1,1,1,4,4,1,0.3527,-0.1515,1.1074,0.4846,0.7648,-0.0601,0.2594,0,1,638.124
"11365",0,1,42459,0.2162,1.1563,1.4276,0,1,1,1,1,1,1,2,4,0.416666666666667,0.2829,1.5043,0.0992,0.5441,1.7359,0.1609,-0.0345,0,1,385.712
"11366",0,1,41786,0.0768,1.1563,1.2582,1,0,0,1,1,0,0,3,4,0.416666666666667,-0.5803,0.3171,0.0992,0.206,0.3708,-0.7662,0.5209,0,1,480.038
"11368",1,1,60906,2.1655,0.0659,1.1697,1,1,1,1,1,1,1,2,2,0.416666666666667,1.1892,1.5043,0.5094,0.7736,1.7359,0.8598,0.4047,0,1,463.928
"11369",0,1,36734,-0.0284,1.1563,-1.176,1,1,1,1,1,1,1,4,5,0.416666666666667,0.0039,0.3171,-0.8208,0.2719,0.3708,0.5952,0.2594,0,0,482.752
"11371",1,1,39087,0.3941,1.1563,0.4648,1,1,1,1,1,1,1,5,4,0.416666666666667,0.0039,1.0269,-0.7639,1.2664,-0.6202,-0.3344,-0.8801,1,0,608.961
"11373",0,1,27080,-1.6287,-1.1119,-0.803,1,0,0,1,1,1,1,1.66666666666667,4.16666666666667,0.35,0.2884,0.2947,-2.1154,-0.6418,-1.9301,0.4631,0.5736,1,0,436.562
"11374",0,1,44413,2.1655,0.1927,1.2308,0,0,1,1,0,1,1,4.16666666666667,3.33333333333333,0.35,-0.0454,-1.1409,-0.4438,0.1911,-0.494,0.4094,1.9474,0,1,493.761
"11375",0,1,38393,0.7777,1.1563,0.4599,0,1,1,1,1,0,1,4.58333333333333,3.66666666666667,0.383333333333333,0.0039,0.9357,-0.8208,0.1123,0.3693,-0.7662,0.4517,1,0,570.962
"11376",0,1,40147,-1.2278,1.1563,0.5244,1,1,0,1,1,0,1,3.33333333333333,4.16666666666667,0.35,0.4006,1.5043,-0.2121,0.3842,0.8545,1.0385,1.6092,1,0,541.238
"11377",0,1,40279,-0.1201,1.1563,-0.008,1,1,0,1,1,1,1,4.58333333333333,3.66666666666667,0.383333333333333,1.0438,0.1643,1.1249,-0.0369,1.7359,-1.3169,1.0461,1,0,568.974
"11378",0,1,38948,0.7777,1.1563,0.2324,0,1,1,1,1,1,1,2.25,6.75,0.316666666666667,-0.3506,-0.4045,-2.1154,-0.9308,-1.3072,0.1717,0.0752,1,0,549.07
"11379",0,1,38290,-0.0514,-0.1108,1.0677,0,1,0,1,1,0,1,2.75,8.25,0.383333333333333,-0.1881,-0.5064,-2.1154,-0.7283,-0.7778,-1.7814,-0.308,0,1,417.433
"11380",0,1,37358,0.3744,-0.1108,-0.4046,1,1,1,1,1,1,1,2.5,3.33333333333333,0.35,-0.8747,-0.2913,-0.2145,-0.1239,-0.7778,0.5539,0.7186,1,0,591.461
"11381",0,0,33057,-0.1201,-0.1108,-1.7508,0,0,0,1,1,0,1,2.5,3.33333333333333,0.35,-1.0005,-0.6239,-0.8208,-0.2865,-0.7778,0.4631,1.0016,0,0,499.566
"11382",0,1,38750,0.6093,-0.1108,-0.9423,1,0,1,1,1,0,1,2.5,3.33333333333333,0.35,1.3185,-0.0474,0.5094,0.438,-0.7778,-0.0468,1.0016,0,0,536.062
"11383",0,1,43038,0.7777,1.1563,0.2174,0,1,1,1,1,0,1,2.5,3.33333333333333,0.35,0.6605,0.9357,-2.1154,-0.4314,-0.3035,0.5539,0.455,1,0,564.722
"11384",0,1,39778,0.7777,1.1563,-0.012,1,1,1,1,1,1,1,2.5,3.33333333333333,0.35,-0.3506,-0.956,0.1458,-0.7668,1.7359,1.3961,1.4226,0,1,357.486
"11385",0,1,40859,0.3005,1.1563,-0.1313,1,1,0,1,1,0,1,2.5,7.5,0.35,1.2422,-0.3381,-0.4049,0.1186,-0.5375,-0.4849,0.4785,1,0,355.594
"11386",0,1,46265,0.1919,-0.1108,0.336,1,0,1,1,1,1,1,2.5,5.83333333333333,0.35,-0.662,-0.604,0.0992,1.7297,-0.3035,-0.4849,0.5209,1,0,623.81
"11387",0,1,44283,-0.1201,1.1563,-0.4704,1,1,0,1,1,1,1,2.5,5.83333333333333,0.35,-0.5177,-0.4725,-0.3772,-0.0781,-0.7778,-0.1651,-0.308,0,0,490.267
"11388",0,1,46411,1.0478,-0.1108,0.6719,0,1,1,1,1,1,1,2.75,3.66666666666667,0.383333333333333,0.8934,-0.1491,0.125,0.6098,-0.494,-1.0771,1.3418,1,0,514.618
"11389",0,1,37860,0.3744,1.1563,-1.3263,0,0,1,1,1,0,1,2.75,3.66666666666667,0.383333333333333,1.8837,0.9357,0.8061,0.3411,1.7359,-0.0958,2.5493,0,0,503.314
"11390",1,1,48448,2.1655,1.1563,0.8296,0,1,1,1,1,0,1,4.58333333333333,3.66666666666667,0.383333333333333,1.8837,1.5611,-0.3793,1.1561,0.5159,-0.3804,-0.6788,1,0,794.553
"11391",1,1,41482,-0.0144,1.1563,0.5735,1,1,0,1,1,0,1,4.16666666666667,3.33333333333333,0.35,0.0039,1.5043,-0.3398,-0.2052,0.3708,-1.358,1.0461,1,0,579.589
"11392",1,1,41378,2.1655,1.1563,0.177,1,0,1,1,1,0,1,4.58333333333333,3.66666666666667,0.383333333333333,0.8934,-1.0894,1.0914,0.6496,1.0728,0.1111,1.8135,1,0,573.414
"11394",1,1,43798,2.1655,1.1563,-0.5089,1,0,1,1,0,1,1,2.75,3.66666666666667,0.383333333333333,-0.8209,-0.2588,-1.0497,-0.8161,-1.5357,0.1111,0.3366,0,0,461.88
