"","student_id","school_id","pv5math","home_possessions","cultural_possessions","escs","disciplinari_climate","learning_time_math","learning_time_lang","learning_time_science","enjoy_science","interest_broad_science","motivat","test_anxiety","gender","education_parents_medium","education_parents_high","video_games","immigration_status","internet_social","study_before_school","study_after_school","private_independent","school_size","ISCED_orient","certified_teacher_prop","sci_teacher_prop","student_hindering_behav","student_teacher_ratio"
"81",38002459,3,552.261,0.311815436618569,0.6093,1.3388,0.2829,4.58333333333333,3.66666666666667,0.383333333333333,-0.119,0.1738,-0.2111,-0.2616,1,0,1,1,1,1,1,1,0,1128,0,1,0.3471,0.1162,13.2706
"83",38012351,3,494.331,2.51641490281468,0.7777,1.7255,0.0039,4,4,0.583333333333333,0.5094,-0.2052,-1.0351,0.7186,0,0,1,1,1,1,1,1,0,1128,0,1,0.3471,0.1162,13.2706
"84",38007210,3,579.125,1.70007856201423,2.1655,0.8842,-1.1805,4,5,0.583333333333333,-0.8208,-0.2926,0.2405,0.7754,0,1,0,1,1,1,0,0,0,1128,0,1,0.3471,0.1162,13.2706
"85",38006625,3,543.215,0.198103925690216,0.6093,1.1231,-1.9061,4,4,0.866666666666667,-0.1053,0.1894,-0.8107,1.3971,0,0,1,0,1,1,0,1,0,1128,0,1,0.3471,0.1162,13.2706
"86",38003055,3,471.945,0.897780679353069,0.3005,0.7277,1.1892,4,4,0.583333333333333,2.1635,1.6345,1.8543,2.5493,1,0,1,1,1,1,1,1,0,1128,0,1,0.3471,0.1162,13.2706
"87",38007436,3,529.299,0.801757625680237,2.1655,-0.3637,1.8837,5,8,0.716666666666667,0.8061,0.438,0.8748,0.7993,1,1,0,1,1,1,0,1,0,1128,0,1,0.3471,0.1162,13.2706
"89",38016241,3,460.441,0.242044299666234,0.6093,0.0622,0.0039,4,5,0.583333333333333,0.5094,0.1042,-0.1651,-0.7236,1,0,1,0,1,1,0,1,0,1128,0,1,0.3471,0.1162,13.2706
"92",38006611,3,496.945,0.0968866425058424,1.0478,1.2619,-0.2407,4.16666666666667,3.33333333333333,0.35,0.0992,-0.7324,-0.4468,0.4785,0,0,1,0,1,1,1,1,0,1128,0,1,0.3471,0.1162,13.2706
"94",38001589,4,412.427,-0.175740214559418,-0.5975,-1.2084,0.0039,3.33333333333333,5,0.35,0.5094,-0.0369,-0.6582,1.4394,0,0,0,1,1,0,0,0,0,670,1,0.5271,0.4335,1.0924,6.601
"95",38006664,4,176.482,-0.956278487104656,-1.2278,-1.516,1.8837,4.58333333333333,5.5,0.383333333333333,-2.1154,-2.4981,-0.4849,0.6725,1,0,0,1,1,0,0,1,0,670,1,0.5271,0.4335,1.0924,6.601
"96",38000309,4,317.245,-0.258988271325484,0.7777,0.7761,-1.1058,3.75,4.5,0.316666666666667,-2.1154,-2.5813,-0.7662,1.1311,1,0,1,1,1,1,1,1,0,670,1,0.5271,0.4335,1.0924,6.601
