"","student_id","school_id","region","school_size","internet_percentage","certified_teacher_prop","sci_teacher_prop","student_hindering_behav","student_teacher_ratio","ISCED_orient","private_government","private_independent","overcrowded_classes","home_possessions","cultural_possessions","escs","disciplinari_climate","learning_time_math","learning_time_lang","learning_time_science","enjoy_science","interest_broad_science","motivat","test_anxiety","gender","education_parents_medium","education_parents_high","video_games","immigration_status","internet_social","study_before_school","study_after_school","home_edu_resources","sport_after_school","read_books","meet_friends","out_of_school_study_time_per_week","subjective_well_being","intrum_motiv_science","parent_emotional_support","pv5math","pv5read","pv5scie"
"810",38001369,38000368,"0",1543,1,0.8,0.371,0.8718,8.9449,1,0,0,0,NA,2.1655,1.7679,0.1628,3.66666666666667,3.66666666666667,1.15,0.0799,-0.5836,-1.1798,2.5493,0,0,1,1,1,1,1,1,1.1563,"Yes","Yes","Yes",46,-1.4766,1.356,-0.4195,508.329,494.737,508.478
"811",38001370,38000477,"TrentinoAA",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,-0.0284,0.3833,0.8033,4.16666666666667,3.33333333333333,0.633333333333333,0.8433,0.9248,0.0437,0.6007,0,1,0,NA,0,1,1,1,0.1927,"Yes","Yes","Yes",35,-0.4698,1.2423,NA,453.64,397.861,442.059
"812",38001373,38000001,"0",1350,1,0.9766,0.3037,0.2229,12.6168,0,0,0,0,NA,0.6093,-0.3447,-1.5571,2.5,3.33333333333333,0.35,-0.8208,0.5987,0.5952,0.1359,0,1,0,1,1,1,1,1,1.1563,"Yes","No","Yes",11,1.0269,-0.264,-1.8389,498.98,443.169,486.802
"813",38001374,38000378,"0",1083,1,1,0.3197,1.5443,14.7347,0,0,0,1,NA,2.1655,0.2756,0.9383,4,4,0.416666666666667,2.1635,1.1786,-0.5643,0.1409,1,1,0,1,1,1,0,1,-0.1108,"Yes","No","Yes",20,0.5423,1.7359,-0.9094,684.285,674.802,668.795
"814",38001375,38000080,"0",331,0.8511,0.8675,0.1928,0.2229,7.9759,1,0,0,0,NA,-0.4945,-0.2574,0.1099,4,5,0.416666666666667,-0.4049,-0.1239,-0.1519,-0.0374,1,0,1,1,1,1,1,1,1.1563,"No","No","Yes",1,1.0269,-0.494,0.7454,354.652,404.709,359.758
"815",38001376,38000078,"TrentinoAA",276,1,0.9571,0.0714,0.558,7.8857,1,0,0,0,NA,-1.2278,-0.4894,0.0039,2.5,2.5,0.35,-0.572,0.3135,-0.7662,-0.5792,1,1,0,1,1,1,1,1,1.1563,"Yes","No","Yes",6,0.6642,0.3708,NA,466.062,448.33,485.519
"816",38001378,38000177,"0",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0.7777,0.4185,-0.6922,3,4,0.416666666666667,-0.8208,-0.0369,-0.1651,-0.184,1,1,0,1,1,1,1,1,1.1563,"Yes","Yes","Yes",25,1.398,0.3708,NA,487.067,485.169,418.412
"817",38001381,38000418,"TrentinoAA",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1.0478,-0.9649,0.4541,2.5,3.33333333333333,0.5,0.8225,-0.1558,-1.5929,-1.464,0,1,0,0,1,1,1,1,-0.1108,"Yes","Yes","Yes",10,-0.4725,-0.7778,-0.5704,581.839,615.845,584.686
"818",38001386,38000453,"TrentinoAA",NA,NA,NA,NA,-0.0467,NA,1,0,0,0,NA,0.1919,0.4856,-1.3573,3.33333333333333,3.33333333333333,0.35,-2.1154,1.0128,-2.7982,-1.39,1,0,1,1,1,1,1,1,-0.1108,"Yes","Yes","Yes",41,-1.0474,-0.4766,-0.015,453.332,419.686,408.032
"819",38001387,38000285,"TrentinoAA",257,1,0.0385,0.0385,0.3672,9.8846,1,1,0,0,NA,-0.7039,-1.7459,NA,2.75,6.41666666666667,0.533333333333333,0.0992,-0.3199,-0.8771,-0.7209,1,0,0,1,1,1,1,1,0.0321,"Yes","No","Yes",4,-0.4725,-0.3035,NA,469.951,369.492,439.795
