"student_id","school_id","region","school_size","internet_percentage","certified_teacher_prop","sci_teacher_prop","student_hindering_behav","student_teacher_ratio","ISCED_orient","private_government","private_independent","overcrowded_classes","home_possessions","cultural_possessions","escs","disciplinari_climate","learning_time_math","learning_time_lang","learning_time_science","enjoy_science","interest_broad_science","motivat","test_anxiety","gender","education_parents_medium","education_parents_high","video_games","immigration_status","internet_social","study_before_school","study_after_school","home_edu_resources","sport_after_school","read_books","meet_friends","out_of_school_study_time_per_week","subjective_well_being","intrum_motiv_science","parent_emotional_support","pv5math","pv5read","pv5scie"
38005773,38000159,"0",1997,1,0.9716,0.3892,-0.2386,11.3466,1,0,0,0,33699,-0.0071,-0.1342,-0.5803,3,3,0.416666666666667,2.1635,0.8784,1.8543,-0.0775,1,0,1,0,0,0,1,1,1.1563,1,0,0,NA,-0.3701,1.7359,NA,389.547,446.746,404.167
38005774,38000058,"TrentinoAA",260,1,0,0.1702,0.9276,11.0638,1,1,0,1,33468,-0.4343,-0.2026,0.8934,3,2,0.583333333333333,-0.119,-0.2052,1.8543,-0.242,0,0,1,0,1,1,1,1,1.1563,1,0,1,30,1.5043,0.3708,-1.8389,457.977,587.09,487.068
38005776,38000302,"TrentinoAA",88,1,0.619,0.1905,-0.1073,8.381,0,1,0,0,44773,0.2737,0.1571,-0.3478,2.25,3,0.316666666666667,0.8433,-0.4651,-1.8679,-1.1074,0,1,0,1,1,1,0,1,1.1563,1,0,1,7,1.5043,-1.9301,NA,512.979,486.416,506.992
38005779,38000112,"0",819,1,0.8111,0.1389,0.8718,9.1,1,0,0,0,37362,0.0768,0.2567,-0.7104,4,6,0.866666666666667,-0.1522,0.324,0.4631,1.9474,1,1,0,0,1,1,0,NA,1.1563,0,0,1,27,0.3171,0.3708,-0.8325,634.577,651.997,659.502
38005780,38000263,"TrentinoAA",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,34648,0.1508,-0.7522,0.7384,3.33333333333333,5,0.5,-0.8208,0.5374,-1.4136,-2.505,1,1,0,1,1,1,0,0,1.1563,1,1,1,NA,2.5915,-0.7778,NA,493.457,480.25,516.266
38005781,38000093,"Campania",590,1,1,0.38,0.2229,11.8,0,0,0,0,48738,0.1376,-0.2549,-1.1026,2.66666666666667,2.66666666666667,0.516666666666667,2.1635,1.0521,1.3961,2.5493,0,1,0,1,1,1,1,1,1.1563,1,1,1,21,0.7701,-1.9301,-1.8131,616.382,594.834,569.293
38005782,38000201,"TrentinoAA",699,1,0.8,0.3103,0.2229,9.6414,0,0,0,0,38438,-0.7039,-0.1996,-0.4076,2.5,3.33333333333333,0.5,-1.0286,-0.6381,-1.0473,-1.0698,0,1,0,0,1,1,1,1,1.1563,1,0,1,14,-2.4441,0.8155,-0.0918,557.27,542.159,519.525
38005784,38000355,"0",1658,1,0.9701,0.2836,-0.1073,16.4975,0,0,0,1,45193,0.7777,1.4454,1.8837,3,5,0.416666666666667,1.3247,0.2664,-0.8771,-0.4671,0,0,1,0,1,1,0,1,1.1563,1,1,1,29,0.9357,1.0728,-1.1364,519.043,508.34,499.496
38005785,38000220,"Campania",417,1,1,0.1803,1.347,13.6721,0,0,0,1,44056,0.3005,-0.6234,-0.1458,4.58333333333333,3.66666666666667,0.666666666666667,0.5094,1.1786,-0.4954,1.3538,0,0,0,0,1,1,1,1,1.1563,1,0,1,14,-0.4838,-0.3035,-0.8325,616.305,548.411,616.611
38005786,38000431,"TrentinoAA",279,1,0.3766,0.1948,1.1957,7.2468,1,0,0,0,32233,-0.831,-0.4277,1.3751,3.33333333333333,3.33333333333333,1.16666666666667,-2.1154,-2.4981,-0.4599,-0.7849,1,1,0,1,1,1,0,1,-1.1119,1,1,1,4,0.6642,-0.7778,0.7454,498.156,514.726,492.531
38005787,38000024,"Lombardia",840,NA,0.9746,0.322,0.8603,14.2373,0,0,0,0,35266,-0.356,0.345,0.2884,6.41666666666667,5.5,0.533333333333333,-0.5781,-0.2112,-0.1519,1.1059,0,1,0,0,1,1,0,1,-0.1108,1,0,1,30,-1.2158,-0.3035,0.7454,579.477,541.059,522.958
38005788,38000237,"Lombardia",1912,1,0.9527,0.2189,-0.4789,11.3136,0,0,0,0,45245,0.0636,0.9721,-0.3164,5,4,0.416666666666667,1.3705,-1.0606,0.4631,1.7952,0,0,1,1,1,1,1,1,1.1563,0,0,1,16,1.0269,0.3708,0.7454,514.094,553.827,476.031
38005790,38000360,"Lombardia",1319,1,0.942,0.2319,0.4927,19.1159,0,0,0,0,38530,2.1655,-0.4029,0.5529,2.75,4.58333333333333,0.383333333333333,2.1635,-0.352,0.9799,1.0016,0,1,0,0,1,1,0,1,-0.1108,0,1,1,4,0.1643,1.7359,0.7454,600.892,568.876,631.314
38005791,38000055,"TrentinoAA",580,0.7692,0.9639,0.1566,-0.8695,6.988,0,0,0,0,39608,-0.1338,-0.3633,1.1892,3.33333333333333,3.33333333333333,0.983333333333333,1.2445,0.2881,0.5952,0.3366,0,1,0,1,1,1,1,1,1.1563,1,1,1,21,-0.5673,1.3336,-0.8325,382.072,330.591,365.469
38005792,38000247,"TrentinoAA",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,36125,-1.6287,0.9468,0.0039,3.33333333333333,4.16666666666667,0.633333333333333,-0.8208,-0.3744,1.3961,-0.2616,1,0,1,1,1,1,0,0,1.1563,1,1,1,5,0.6642,0.3708,-0.4195,536.049,548.959,565.526
38005793,38000148,"Campania",952,1,1,0.9846,0.6298,14.6462,0,0,0,0,52542,0.3744,1.7174,NA,2.66666666666667,2.66666666666667,0.416666666666667,2.1635,0.2913,0.959,-0.7792,0,0,1,0,1,0,0,0,-0.7218,1,1,1,15,0.4438,1.0388,-0.015,470.62,490.334,489.964
