"","school_id","region_Campania","region_Lombardia","private_government","private_independent","school_size","overcrowded_classes","ISCED_orient","pcs_per_student","internet_percentage","edu_leadership","curricular_development","istructional_leadership","professional_development","curricular_responsability","resources_responsability","school_authonomy","teacher_participation","material_shortage","staff_shortage","certified_teacher_prop","teacher_num","sci_teacher_prop","certified_sci_teacher_prop","creative_activities","science_resources","teacher_hindering_behav","student_hindering_behav","student_teacher_ratio","student_id","dimension_city","home_possessions","cultural_possessions","escs","disciplinari_climate","learning_time_math","learning_time_lang","learning_time_science","enjoy_science","interest_broad_science","motivat","test_anxiety","pv5math","gender","education_parents_medium","education_parents_high","video_games","immigration_status","internet_social","study_before_school","study_after_school"
"34",38000002,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38018227,NA,33464,-0.1523,-0.7337,-0.4759,NA,NA,NA,NA,NA,1.3961,0.6007,515.79,0,1,0,1,1,NA,NA,NA
"35",38000002,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38018456,NA,22858,-1.6287,-1.2268,NA,3.33333333333333,3.33333333333333,0.983333333333333,NA,NA,NA,NA,443.898,0,1,0,0,NA,NA,NA,NA
"36",38000002,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38002929,NA,26445,-1.3465,-1.2431,-1.0005,3.33333333333333,3.33333333333333,0.35,-2.1154,NA,0.5387,-1.3753,487.484,1,1,0,1,1,1,0,0
"37",38000002,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38015577,NA,19422,0.0445,-2.8547,-0.7439,4.16666666666667,5,0.35,-0.0547,-0.2926,-0.5996,-0.4671,476.753,1,0,0,0,0,1,1,1
"38",38000002,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38009400,NA,61412,2.1655,4.0683,-0.5355,NA,NA,NA,NA,NA,-3.0877,-2.505,342.202,1,0,1,1,1,0,0,0
"39",38000002,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38013292,NA,33578,-0.5676,NA,NA,NA,NA,NA,-2.1154,NA,NA,NA,434.588,1,NA,NA,NA,1,NA,NA,NA
"40",38000002,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38014693,NA,36899,0.3005,0.9753,NA,NA,NA,NA,NA,NA,-0.0852,-1.0445,534.737,1,0,1,NA,1,NA,NA,NA
"41",38000002,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38017398,NA,32318,-0.8341,0.7279,-2.4162,NA,NA,NA,NA,NA,-3.0877,-2.505,433.013,0,0,1,NA,0,NA,NA,NA
"42",38000002,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38019068,NA,34802,-0.4945,-0.0936,-0.2683,3.33333333333333,3.33333333333333,0.5,-0.8208,-2.4981,-1.0795,-0.6871,536.095,1,0,1,0,1,1,1,1
"43",38000002,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38008301,NA,36014,-1.3465,-0.2444,-0.7185,3.33333333333333,4.16666666666667,0.633333333333333,-0.3522,0.3689,-0.0852,-1.3753,532.556,1,1,0,1,1,1,1,1
