"","school_id","region_Campania","region_Lombardia","private_government","private_independent","school_size","overcrowded_classes","ISCED_orient","pcs_per_student","internet_percentage","edu_leadership","curricular_development","istructional_leadership","professional_development","curricular_responsability","resources_responsability","school_authonomy","teacher_participation","material_shortage","staff_shortage","certified_teacher_prop","teacher_num","sci_teacher_prop","certified_sci_teacher_prop","creative_activities","science_resources","teacher_hindering_behav","student_hindering_behav","student_teacher_ratio","pv5math"
"263","263",0,0,0,0,52,0,1,NA,NA,-1.0735,-1.1189,-1.223,-0.4247,1.4806,-0.6941,0.58,5,0.068,-0.3657,0.7857,14,0.5,0.7143,0,6,0.4447,0.3046,3.7143,46.4316022710847
"264","264",0,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.0762762767514
"265","265",1,0,0,1,3,0,1,NA,NA,0.2012,0.2666,-0.5081,0.4295,0.3405,-0.5181,0.83,2,-0.1328,-0.5392,0.1429,14,0.4643,0.0769,2,5,0.6915,-0.5606,1,47.2175883990052
"266","266",1,0,0,0,1015,0,0,0.3571,1,0.951,1.1989,0.3405,1.8133,0.9105,-0.7192,0.58,4,1.5141,0.7317,1,79,0.3165,1,1,6,-0.348,0.6298,12.8481,56.3585029830926
"267","267",0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.507381423589
"268","268",0,0,1,0,257,0,1,0.8,1,-1.7076,-1.9526,-2.1638,-1.4795,1.4806,-0.3422,0.75,2,1.6094,0.2838,0.0385,26,0.0385,NA,0,2,1.2926,0.3672,9.8846,43.7742851312345
"269","269",0,0,0,0,622,0,1,1.0714,0.7778,-0.0711,-0.5455,-0.1449,-0.4412,0.0554,-0.6941,0.67,6,0.0063,0.6586,NA,NA,NA,NA,0,5,NA,NA,NA,45.683133969635
"270","270",1,0,0,0,155,0,0,0.4242,1,0.9472,0.1895,1.0434,1.8133,0.9105,-0.782,0.58,3,1.613,0.4495,1,15,0.2333,1,1,3,-0.3947,1.347,10.3333,49.7400931096479
"271","271",1,0,0,0,1304,0,0,0.2968,1,-0.0157,0.6689,-0.2147,0.1158,-0.4196,-0.6941,0.58,4,-0.3301,0.09,0.9471,94.5,0.1905,0.9722,2,5,-0.995,0.1026,13.7989,46.4231264306662
"272","272",1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.2109445703297
"273","273",0,1,0,0,826,0,0,0.1143,1,0.0546,-0.4435,1.5685,-0.7285,-0.4196,-0.5181,0.75,5,0.9328,0.9008,0.6892,74,0.1554,0.8261,1,1,0.6543,1.503,11.1622,45.0942712247991
"274","274",0,0,0,0,693,0,1,1.5752,1,-0.707,-0.8077,-1.2693,0.4659,-0.6097,-0.6941,0.5,4,0.3806,0.5301,0.7754,93.5,0.1872,0.8571,1,6,0.0972,0.2857,7.4118,50.1728560870667
"275","275",0,0,0,0,925,0,1,0.787,1,0.4468,0.1895,0.0481,1.8133,0.9105,-0.782,0.67,3,0.9559,0.4704,0.9162,95.5,0.0524,1,1,5,-0.995,0.3622,9.6859,56.3640728870098
"276","276",0,1,0,0,NA,1,1,NA,1,0.1538,0.7151,0.2905,-0.4247,0.0554,-0.6941,0.58,6,0.9328,0.7317,0.9532,117.5,0.1106,1,1,3,0.0166,-0.2386,NA,39.9094510450249
"277","277",0,0,0,0,608,0,1,0.8308,1,-0.9579,-0.8669,-2.2467,0.3471,-0.6097,-0.6589,0.58,4,0.068,-0.0532,0.7554,69.5,0.3525,0.9184,0,3,0.6543,1.4523,8.7482,48.7951946310315
"278","278",0,0,0,0,1100,0,0,0.3433,1,0.3901,0.1512,0.5085,0.3642,1.4806,-0.782,0.58,6,-0.1328,-0.0679,0.7282,103,0.2864,0.8814,3,7,0.0185,0.617,10.6796,56.6077318954564
"279","279",0,0,0,0,201,0,0,0.2273,1,-0.4032,-1.4467,-0.1449,0.4475,-0.6572,-0.7946,0.5,6,0.5013,1.7116,0.9024,20.5,0.2195,1,1,3,0.4553,1.0383,9.8049,43.2543190072443
"280","280",0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.907809211354
"281","281",0,0,0,0,389,0,1,1.6667,1,-0.6603,-1.7773,-0.7967,0.1158,0.0554,-0.6061,0.58,4,-1.2541,-0.214,0.3113,75.5,0.053,1,0,5,0.8947,-0.3599,5.1523,44.3253592827709
"282","282",0,0,0,0,210,0,0,1.2292,1,0.5014,-0.0627,0.2836,1.8133,-0.6572,-0.6941,0.58,4,0.9328,2.8351,1,18.5,0.0811,1,2,6,-0.995,1.0383,11.3514,50.5904906193392
"283","283",0,0,0,0,457,0,0,0.2125,1,3.0632,2.2694,2.2317,1.8133,-0.9897,-0.782,0.42,1,0.9328,-0.044,1,45,0.1778,1,2,1,-0.6684,1.2496,10.1556,50.7515717486705
"284","284",0,0,1,0,88,0,0,1.4444,1,-0.1848,0.1751,0.5388,-0.4247,-0.7997,-0.2102,0.83,5,-0.3301,0.5382,0.619,10.5,0.1905,1,1,6,0.0185,-0.1073,8.381,56.9464912247339
"285","285",0,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.5225695205087
"286","286",1,0,0,0,693,0,0,0.625,1,-1.0088,-0.2305,-0.8852,-0.9907,1.4806,-0.6941,0.58,6,-0.9866,0.9639,1,104,0.2404,1,2,2,-0.995,-0.4743,6.6635,43.6453636860558
"287","287",0,0,1,0,310,0,1,0.3297,1,-1.2682,-1.7773,-1.165,-0.6676,1.4806,-0.6941,0.58,4,-1.2541,0.7106,0.0323,31,0.0806,0,1,3,0.2941,-2.1182,10,43.1068508249135
"288","288",1,0,0,0,1806,1,0,0.3553,1,NA,NA,NA,NA,-0.7997,-0.3422,0,0,NA,NA,1,130,0.3308,1,NA,NA,NA,NA,13.8923,46.9416997419108
"289","289",0,0,1,0,146,0,1,1.1429,1,0.178,1.2995,0.3473,-0.184,-0.9897,-0.7946,0.42,1,-0.9916,0.1592,0.087,23,0.0435,0,NA,0,0.5482,0.6298,6.3478,43.2682483546109
"290","290",0,0,0,0,299,0,1,3.5714,0.86,-0.1685,7e-04,-0.1449,-0.4247,-0.7997,-0.7946,0.25,3,-0.6703,0.6111,0.7358,26.5,0.1132,1,1,5,-0.995,-1.2437,11.283,44.0193668140361
"291","291",0,0,0,1,720,1,1,0.3529,1,-0.4941,-0.8669,-0.1449,-0.2002,1.4806,2.8245,1,6,-0.849,0.1592,0.5657,49.5,0.0606,1,2,4,-0.5703,-0.7289,14.5455,51.8292966393154
"292","292",0,0,0,0,806,0,0,0.3571,1,-1.0496,-0.3971,-1.165,-0.7451,-0.2296,-0.782,0.5,3,0.9328,-0.3657,0.9697,82.5,0.2788,0.9565,1,6,0.8947,0.6298,9.7697,52.6007510696347
"293","293",0,0,0,0,1062,1,0,0.246,1,-0.2398,0.1512,0.0201,-0.4247,1.4806,-0.6061,0.75,4,1.7302,1.4002,0.8148,81,0.142,1,3,6,-0.9044,0.6829,13.1111,52.5304318111202
"294","294",0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.8213687632703
"295","295",0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.3855807951557
"296","296",0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.0775438532018
"297","297",0,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.9923472843976
